Professional	NNP	O
Summary	NNP	O
Having	NNP	O
6	CD	WRKEX
Years	NNS	WRKEX
of	IN	O
Experience	NNP	WRKEX
as	IN	O
a	DT	O
Software	NNP	DESIG
Developer	NNP	DESIG
in	IN	O
the	DT	O
IT	NNP	O
industry.	NN	O
.	.	O
Hands	NNS	O
on	IN	O
experience	NN	WRKEX
in	IN	O
Java	NNP	SKILL
and	CC	O
J2EE	NNP	SKILL
(JDBC	NNP	SKILL
Servlet	NNP	SKILL
JSP).	NNP	SKILL
.	.	O
Hands	NNS	O
on	IN	O
experience	NN	WRKEX
in	IN	O
Spring	NN	SKILL
Framework.	NN	SKILL
.	.	O
Hands	NNS	O
on	IN	O
experience	NN	WRKEX
in	IN	O
Hibernate	NNP	SKILL
Framework.	NNP	SKILL
.	.	O
Hands	NNS	O
on	IN	O
experience	NN	WRKEX
in	IN	O
Struts	NNP	SKILL
Framework.	NNP	SKILL
.	.	O
Hands	NNS	O
on	IN	O
experience	NN	WRKEX
in	IN	O
Tomcat	NNP	SKILL
Eclipse.	NNP	SKILL
.	.	O
Hands	NNS	O
on	IN	O
experience	NN	WRKEX
in	IN	O
Design	NNP	SKILL
Pattern	NNP	SKILL
(GOF	NNP	SKILL
J2EE).	NNP	SKILL
.	.	O
Hands	NNS	O
on	IN	O
experience	NN	WRKEX
in	IN	O
SVN	NNP	SKILL
Hands	NNP	O
on	IN	O
experience	NN	WRKEX
in	IN	O
JUnit	NNP	SKILL
Hands	NNP	O
on	IN	O
experience	NN	WRKEX
in	IN	O
Maven	NNP	SKILL
Log4J	NNP	SKILL
Hands	NNP	O
on	IN	O
experience	NN	WRKEX
in	IN	O
Web	NNP	SKILL
service(REST)	NN	SKILL
Hands	NNP	O
on	IN	O
experience	NN	WRKEX
in	IN	O
Billing	NNP	SKILL
Platform	NNP	SKILL
Good	NNP	O
Knowledge	NNP	O
in	IN	O
Facets	NNP	SKILL
Good	NNP	O
Knowledge	NNP	O
in	IN	O
Groovy	NNP	SKILL
Employment	NNP	O
Summary	NNP	O
Programmer	NNP	DESIG
Analyst	NNP	DESIG
Cognizant	NNP	ORG
Technology	NNP	ORG
Solutions	NNP	ORG
Bangalore	NNP	LOC
India	NNP	LOC
From	NNP	O
Dec	NNP	DATE
2014	CD	DATE
Till	NNP	DATE
Date	NNP	DATE
Software	NNP	DESIG
Engineer	NNP	DESIG
Kellen	NNP	ORG
Technology	NNP	ORG
Bangalore	NNP	LOC
India	NNP	LOC
From	NNP	O
Jan	NNP	DATE
2011	CD	DATE
-	-	O
Nov	NNP	DATE
2014	CD	DATE
Technical	NNP	O
Skills	NNP	O
Operating	VBG	O
System:-	NNP	O
Windows	NNP	SKILL
Family	NNP	SKILL
Languages:-	NNP	O
Java	NNP	SKILL
HTML	NNP	SKILL
Java	NNP	SKILL
Script	NNP	SKILL
MySql	NNP	SKILL
Sql	NNP	SKILL
Server	NNP	SKILL
J2ee	NNP	SKILL
Technologies:-	NNP	O
Servlet	NNP	SKILL
JDBC	NNP	SKILL
JSP	NNP	SKILL
Web	NNP	SKILL
Server:-	NNP	SKILL
Apache	NNP	SKILL
Tomcat	NNP	SKILL
Frameworks:-	NNP	O
Spring	NNP	SKILL
Hibernate	NNP	SKILL
Struts	NNP	SKILL
Tools:-	NNP	O
Eclipse	NNP	SKILL
Maven	NNP	SKILL
Training	NNP	O
.	.	O
HealthCare	NNP	O
in	IN	O
Facets	NNP	SKILL
5.1	CD	O
Internal	NNP	O
Training	NNP	O
Education	NNP	O
MCA	NNP	EDU
IGNOU	NNP	ORG
New	NNP	LOC
Delhi	NNP	LOC
in	IN	O
2011	CD	DATE
India	NNP	LOC
PGDCA	NNP	EDU
IGNOU	NNP	ORG
New	NNP	LOC
Delhi	NNP	LOC
in	IN	O
2009	CD	DATE
India	CD	LOC
BCA	NNP	O
IGNOU	NNP	ORG
New	NNP	LOC
Delhi	NNP	LOC
in	IN	O
2006	CD	DATE
India	CD	LOC
Project	NN	O
Experience	NNP	WRKEX
-	:	O
Cognizant	NNP	ORG
Technology	NNP	ORG
Solutions	NNP	ORG
Project	NNP	O
#1:	NNP	O
Project	NNP	O
Name	NNP	O
:	:	O
Clear	JJ	O
Channel	NNP	O
International	NNP	O
Client	NNP	O
:	:	O
CCI	NNP	ORG
SmartBike	NNP	ORG
Team	NNP	O
Size	NNP	O
:	:	O
14	CD	O
Role	NN	O
:	:	O
Team	NN	O
Member	NNP	DESIG
Duration	NNP	O
:	:	O
Feb	NN	DATE
2016	CD	DATE
to	TO	O
Till	NNP	DATE
Date	NNP	DATE
Technology	NNP	ORG
:	:	O
Core	NN	O
Java	NNP	SKILL
Spring	NNP	SKILL
Hibernate	NNP	SKILL
MySQL	NNP	SKILL
Web	NNP	SKILL
Service	NNP	SKILL
:	:	O
REST	NN	SKILL
and	CC	O
SOAP	NNP	SKILL
Project	NNP	O
Description:	NNP	O
Billing	NNP	SKILL
Platform's	NNP	O
enterprise	NN	O
billing	NN	SKILL
system	NN	O
provides	VBZ	O
a	DT	O
comprehensive	JJ	O
suite	NN	O
of	IN	O
features	NNS	O
for	IN	O
companies	NNS	O
in	IN	O
every	DT	O
industry	NN	O
across	IN	O
the	DT	O
globe.	NN	O
.	.	O
The	DT	O
Billing	NNP	SKILL
system	NN	O
gives	VBZ	O
the	DT	O
power	NN	O
to	TO	O
design	VB	SKILL
dynamic	JJ	O
product	NN	O
offerings	JJ	O
monetize	VB	O
your	PRP$	O
end-to-end	JJ	O
process	NN	O
integrate	NN	O
with	IN	O
critical	JJ	O
applications	NN	O
the	DT	O
streamline	NN	O
communicationsgain	NN	O
valuable	JJ	O
business	NN	O
intelligence	NN	O
and	CC	O
design	NN	SKILL
the	DT	O
model	NN	O
and	CC	O
business	NN	O
logic	NN	O
that	WDT	O
fully	RB	O
supports	VBZ	O
your	PRP$	O
needs.	NN	O
.	.	O
Automate	NNP	O
high	JJ	O
volume	NN	O
usage	JJ	O
rating	NN	O
and	CC	O
mediation	NN	O
to	TO	O
fully	RB	O
capitalize	VB	O
on	IN	O
your	PRP$	O
metered	VBN	O
offerings.	NN	O
.	.	O
Use	NNP	O
powerful	JJ	O
subscription	NN	O
management	NN	O
tools	NNS	O
to	TO	O
keep	VB	O
your	PRP$	O
dynamic	NN	O
recurring	VBG	O
revenue	NN	O
engine	NN	O
performing	NN	O
at	IN	O
its	PRP$	O
best.	NN	O
.	.	O
Leverage	NN	O
customer	NN	O
centric	NN	O
invoicing	NN	O
payment	NN	O
and	CC	O
dunning	VBG	O
configuration	NN	O
to	TO	O
speed	VB	O
the	DT	O
flow	NN	O
of	IN	O
revenue.	NN	O
.	.	O
Take	VB	O
full	JJ	O
advantage	NN	O
of	IN	O
our	PRP$	O
highly	RB	O
configurable	JJ	O
and	CC	O
customizable	JJ	O
application	NN	O
data-model	JJ	O
communication	NN	O
framework	NN	SKILL
UI	NNP	SKILL
and	CC	O
integration	NN	O
platform	NN	SKILL
to	TO	O
ensure	VB	O
that	IN	O
our	PRP$	O
billing	NN	SKILL
system	NN	O
conforms	VBZ	O
exactly	RB	O
to	TO	O
your	PRP$	O
needs.	NNS	O
.	.	O
Subscription	NNP	O
Enablement	NNP	O
Platform	NNP	SKILL
[SEP]:	VBZ	DATE
The	DT	O
project	NN	O
involves	VBZ	O
developing	VBG	O
of	IN	O
a	DT	O
platform	NN	SKILL
that	WDT	O
facilitates	VBZ	O
the	DT	O
transformation	NN	O
of	IN	O
data	NNS	O
from	IN	O
one	CD	O
end	NN	O
point	NN	O
to	TO	O
another	DT	O
with	IN	O
the	DT	O
help	NN	O
of	IN	O
indigenous	JJ	O
Data	NNP	O
Transformation	NNP	O
engine	NN	O
(DTE).	NN	O
.	.	O
The	DT	O
engine	NN	O
pull/push	NN	O
data	NNS	O
between	IN	O
ERP	NNP	O
systems.	NN	O
.	.	O
The	DT	O
Project	NNP	O
also	RB	O
involves	VBZ	O
in	IN	O
developing	VBG	O
Storefront	NNP	O
a	DT	O
web	JJ	SKILL
application	NN	O
for	IN	O
the	DT	O
user	NN	O
to	TO	O
login	VB	O
and	CC	O
manage	VB	O
the	DT	O
subscriptions.	NN	O
.	.	O
Responsibilities	NNS	O
and	CC	O
key	JJ	O
Accomplishments:-	NNP	O
.	.	O
Worked	VBN	O
extensively	RB	O
in	IN	O
coding	JJ	SKILL
unit	NN	SKILL
testing	NN	SKILL
and	CC	O
documentation	NN	SKILL
process	NN	O
.	.	O
Configured	VBD	SKILL
the	DT	O
EMAIL	NNP	O
templates	NNS	O
as	IN	O
per	IN	O
business	NN	O
condition.	NN	O
.	.	O
Implemented	VBN	O
Validations	NNS	O
as	IN	O
per	IN	O
the	DT	O
requirement.	NN	O
.	.	O
Coordination	NN	SKILL
with	IN	O
QA	NNP	O
team	NN	O
and	CC	O
helping	VBG	O
them	PRP	O
in	IN	O
completing	VBG	O
their	PRP$	O
testing	NN	SKILL
in	IN	O
QA	NNP	O
environment.	NN	O
.	.	O
Project	NN	O
#2:	NNP	O
Project	NNP	O
Name	NNP	O
:	:	O
TriZetto	NNP	ORG
Client	NNP	O
:	:	O
Blue	NNP	ORG
cross	NN	ORG
blue	JJ	ORG
shield	NN	ORG
of	IN	O
North	NNP	LOC
Carolina	NNP	LOC
(TOPAZ)	NNP	O
Duration	NNP	O
:	:	O
Dec	NN	DATE
2014	CD	DATE
to	TO	O
Jan	NNP	DATE
2016	CD	DATE
Team	NNP	O
Size	NNP	O
:	:	O
12	CD	O
Technology	NN	ORG
:	:	O
java	NN	SKILL
and	CC	O
MySQL	NNP	SKILL
Role	NNP	O
:	:	O
Team	NN	O
Member	NNP	DESIG
Project	NNP	O
Description:	NNP	O
TriZetto	NNP	ORG
a	DT	O
Cognizant	NNP	ORG
company	NN	O
and	CC	O
business	NN	O
unit	NN	SKILL
within	IN	O
Cognizant's	NNP	ORG
healthcare	NN	O
practice	NN	O
provides	VBZ	O
world-class	JJ	O
information	NN	O
technology	NN	ORG
solutions	NNS	ORG
to	TO	O
make	VB	O
better	JJR	O
healthcare	NN	O
happen.	NN	O
.	.	O
TriZetto's	NNP	ORG
world-class	NN	O
technology	NN	ORG
products	NN	O
in	IN	O
combination	NN	O
with	IN	O
Cognizant's	NNP	ORG
consulting	NN	O
IT	NN	O
and	CC	O
business	NN	O
process	NN	O
services	NNS	O
at	IN	O
scale	JJ	O
dramatically	RB	O
simplifies	VBZ	O
the	DT	O
deployment	NN	O
and	CC	O
adoptionof	NN	O
technology	NN	ORG
and	CC	O
improves	VBZ	O
operations-helping	JJ	O
to	TO	O
reengineer	VB	O
the	DT	O
business	NN	O
of	IN	O
healthcare	NN	O
today	NN	O
while	IN	O
reimagining	VBG	O
it	PRP	O
for	IN	O
tomorrow.	NN	O
.	.	O
Topaz	NN	O
has	VBZ	O
three	CD	O
primary	JJ	O
objectives:	NNS	O
increased	VBD	O
speed	NN	O
of	IN	O
new	JJ	LOC
products	NNS	O
to	TO	O
market	VB	O
greater	JJR	O
innovation	NN	O
and	CC	O
improved	VBN	O
cost	NN	O
efficiencies.	NN	O
.	.	O
BCBSNC	NNP	O
believe	VBP	O
that	IN	O
the	DT	O
solutions	NNS	ORG
offered	VBN	O
by	IN	O
Topaz	NNP	O
will	MD	O
be	VB	O
attractive	JJ	O
to	TO	O
other	JJ	O
Blue	NNP	ORG
plans	VBZ	O
in	IN	O
the	DT	O
future.	NN	O
.	.	O
Responsibilities	NNS	O
and	CC	O
key	JJ	O
Accomplishments:-	NNP	O
.	.	O
.	.	O
Active	JJ	O
participation	NN	O
on	IN	O
remediation	NN	O
work	NN	O
in	IN	O
DEV2	NNP	O
environment	NN	O
.	.	O
.	.	O
Worked	VBN	O
on	IN	O
individual	JJ	O
projects	NNS	O
for	IN	O
a	DT	O
vendor	NN	O
called	VBN	O
"PRIME"	CD	ORG
to	TO	O
include	VB	O
individual	JJ	O
data	NNS	O
along	IN	O
with	IN	O
small	JJ	O
groups.	NNS	O
.	.	O
Worked	VBN	O
extensively	RB	O
in	IN	O
coding	JJ	SKILL
unit	NN	SKILL
testing	NN	SKILL
and	CC	O
documentation	NN	SKILL
process	NN	O
involved	VBN	O
in	IN	O
vendor	NN	O
extracts.	NN	O
.	.	O
Coordination	NN	SKILL
with	IN	O
QA	NNP	O
team	NN	O
and	CC	O
helping	VBG	O
them	PRP	O
in	IN	O
completing	VBG	O
their	PRP$	O
testing	NN	SKILL
in	IN	O
QA	NNP	O
environment.	NN	O
.	.	O
Project	NN	O
#3	NN	O
:	:	O
HCIS	JJ	O
Client	NN	O
:	:	O
Cromwell	NNP	ORG
Hospital	NNP	ORG
Team	NNP	O
Size	NNP	O
:	:	O
6	CD	WRKEX
Role	NN	O
:	:	O
Team	NN	O
